date,state,Total
2022-10,Colorado,33903
2022-10,Connecticut,8156
2022-10,Delaware,3241
2022-10,District of Columbia,437
2022-10,Florida,84983
2022-10,Georgia,30714
2022-10,Hawaii,0
2022-10,Idaho,12147
2022-10,Illinois,33318
2022-10,Indiana,35307
2022-10,Iowa,6071
2022-10,Kansas,12200
2022-10,Kentucky,20497
2022-10,Louisiana,22925
2022-10,Maine,10232
2022-10,Maryland,17975
2022-10,Massachusetts,9454
2022-10,Michigan,39276
2022-10,Minnesota,28134
2022-10,Mississippi,16313
2022-10,Missouri,38569
2022-10,Montana,10292
2022-10,Nebraska,2178
2022-10,Nevada,7637
2022-10,New Hampshire,9607
2022-10,New Jersey,15254
2022-10,New Mexico,11426
2022-10,New York,24193
2022-10,North Carolina,16876
2022-10,North Dakota,6460
2022-10,Ohio,38720
2022-10,Oklahoma,22148
2022-10,Oregon,29253
2022-10,Pennsylvania,65681
2022-10,Rhode Island,1959
2022-10,South Carolina,18148
2022-10,South Dakota,7476
2022-10,Tennessee,45819
2022-10,Texas,96911
2022-10,Utah,9506
2022-10,Vermont,3782
2022-10,Virginia,44313
2022-10,Washington,29687
2022-10,West Virginia,12476
2022-10,Wisconsin,34480
2022-10,Wyoming,4523
2022-09,Alabama,33061
2022-09,Alaska,8232
2022-09,Arizona,29312
2022-09,Arkansas,13618
2022-09,California,61319
2022-09,Colorado,34789
2022-09,Connecticut,7637
2022-09,Delaware,2897
2022-09,District of Columbia,686
2022-09,Florida,80578
2022-09,Georgia,29109
2022-09,Hawaii,0
2022-09,Idaho,12226
2022-09,Illinois,33452
2022-09,Indiana,37232
2022-09,Iowa,5673
2022-09,Kansas,11733
2022-09,Kentucky,18630
2022-09,Louisiana,23042
2022-09,Maine,9551
2022-09,Maryland,17036
2022-09,Massachusetts,8869
2022-09,Michigan,39283
2022-09,Minnesota,26638
2022-09,Mississippi,16251
2022-09,Missouri,36344
2022-09,Montana,10149
2022-09,Nebraska,1905
2022-09,Nevada,8102
2022-09,New Hampshire,9379
2022-09,New Jersey,13780
2022-09,New Mexico,11576
2022-09,New York,28781
2022-09,North Carolina,15495
2022-09,North Dakota,5373
2022-09,Ohio,38692
2022-09,Oklahoma,22059
2022-09,Oregon,25416
2022-09,Pennsylvania,61532
2022-09,Rhode Island,1853
2022-09,South Carolina,17660
2022-09,South Dakota,5951
2022-09,Tennessee,46800
2022-09,Texas,98162
2022-09,Utah,9775
2022-09,Vermont,3793
2022-09,Virginia,41833
2022-09,Washington,30122
2022-09,West Virginia,10884
2022-09,Wisconsin,33781
2022-09,Wyoming,4845
2022-08,Alabama,34468
2022-08,Alaska,6811
2022-08,Arizona,31569
2022-08,Arkansas,13525
2022-08,California,69984
2022-08,Colorado,37300
2022-08,Connecticut,6332
2022-08,Delaware,2998
2022-08,District of Columbia,521
2022-08,Florida,91560
2022-08,Georgia,30225
2022-08,Hawaii,0
2022-08,Idaho,11785
2022-08,Illinois,33406
2022-08,Indiana,38839
2022-08,Iowa,5356
2022-08,Kansas,12168
2022-08,Kentucky,18717
2022-08,Louisiana,23108
2022-08,Maine,8281
2022-08,Maryland,18006
2022-08,Massachusetts,10141
2022-08,Michigan,37322
2022-08,Minnesota,24745
2022-08,Mississippi,19924
2022-08,Missouri,36194
2022-08,Montana,9307
2022-08,Nebraska,1749
2022-08,Nevada,8757
2022-08,New Hampshire,9571
2022-08,New Jersey,15286
2022-08,New Mexico,12916
2022-08,New York,40359
2022-08,North Carolina,15860
2022-08,North Dakota,4955
2022-08,Ohio,39796
2022-08,Oklahoma,23005
2022-08,Oregon,24684
2022-08,Pennsylvania,62995
2022-08,Rhode Island,2081
2022-08,South Carolina,18570
2022-08,South Dakota,5793
2022-08,Tennessee,46238
2022-08,Texas,99571
2022-08,Utah,10151
2022-08,Vermont,3364
2022-08,Virginia,41647
2022-08,Washington,30490
2022-08,West Virginia,10150
2022-08,Wisconsin,31323
2022-08,Wyoming,4797
2022-07,Alabama,32423
2022-07,Alaska,6214
2022-07,Arizona,31395
2022-07,Arkansas,11863
2022-07,California,70738
2022-07,Colorado,33860
2022-07,Connecticut,7032
2022-07,Delaware,3064
2022-07,District of Columbia,398
2022-07,Florida,91527
2022-07,Georgia,28744
2022-07,Hawaii,0
2022-07,Idaho,11432
2022-07,Illinois,31734
2022-07,Indiana,39057
2022-07,Iowa,5091
2022-07,Kansas,11843
2022-07,Kentucky,18179
2022-07,Louisiana,20710
2022-07,Maine,7927
2022-07,Maryland,15050
2022-07,Massachusetts,8990
2022-07,Michigan,36338
2022-07,Minnesota,20364
2022-07,Mississippi,13992
2022-07,Missouri,35819
2022-07,Montana,8857
2022-07,Nebraska,1550
2022-07,Nevada,8254
2022-07,New Hampshire,9380
2022-07,New Jersey,14349
2022-07,New Mexico,11520
2022-07,New York,29430
2022-07,North Carolina,14913
2022-07,North Dakota,4500
2022-07,Ohio,40981
2022-07,Oklahoma,21861
2022-07,Oregon,24416
2022-07,Pennsylvania,61157
2022-07,Rhode Island,1890
2022-07,South Carolina,17677
2022-07,South Dakota,4871
2022-07,Tennessee,44840
2022-07,Texas,95693
2022-07,Utah,10126
2022-07,Vermont,3310
2022-07,Virginia,42831
2022-07,Washington,37967
2022-07,West Virginia,10294
2022-07,Wisconsin,28531
2022-07,Wyoming,4481
2022-06,Alabama,35926
2022-06,Alaska,6294
2022-06,Arizona,36097
2022-06,Arkansas,13420
2022-06,California,77553
2022-06,Colorado,37560
2022-06,Connecticut,9018
2022-06,Delaware,9012
2022-06,District of Columbia,420
2022-06,Florida,107518
2022-06,Georgia,31902
2022-06,Hawaii,0
2022-06,Idaho,13733
2022-06,Illinois,33345
2022-06,Indiana,36923
2022-06,Iowa,5516
2022-06,Kansas,13072
2022-06,Kentucky,19210
2022-06,Louisiana,22393
2022-06,Maine,8965
2022-06,Maryland,14550
2022-06,Massachusetts,10290
2022-06,Michigan,40057
2022-06,Minnesota,20904
2022-06,Mississippi,15143
2022-06,Missouri,37270
2022-06,Montana,10366
2022-06,Nebraska,1645
2022-06,Nevada,10233
2022-06,New Hampshire,10439
2022-06,New Jersey,12813
2022-06,New Mexico,12957
2022-06,New York,37688
2022-06,North Carolina,16504
2022-06,North Dakota,4388
2022-06,Ohio,45493
2022-06,Oklahoma,25526
2022-06,Oregon,28271
2022-06,Pennsylvania,69166
2022-06,Rhode Island,2826
2022-06,South Carolina,20086
2022-06,South Dakota,5112
2022-06,Tennessee,48036
2022-06,Texas,110484
2022-06,Utah,12009
2022-06,Vermont,3540
2022-06,Virginia,46071
2022-06,Washington,60877
2022-06,West Virginia,10932
2022-06,Wisconsin,30473
2022-06,Wyoming,5250
2022-05,Alabama,30864
2022-05,Alaska,6139
2022-05,Arizona,29121
2022-05,Arkansas,11360
2022-05,California,66531
2022-05,Colorado,33740
2022-05,Connecticut,8135
2022-05,Delaware,3552
2022-05,District of Columbia,384
2022-05,Florida,86782
2022-05,Georgia,29523
2022-05,Hawaii,0
2022-05,Idaho,12248
2022-05,Illinois,29535
2022-05,Indiana,31842
2022-05,Iowa,4720
2022-05,Kansas,10781
2022-05,Kentucky,17390
2022-05,Louisiana,19206
2022-05,Maine,6915
2022-05,Maryland,13051
2022-05,Massachusetts,8824
2022-05,Michigan,35564
2022-05,Minnesota,21392
2022-05,Mississippi,13660
2022-05,Missouri,33231
2022-05,Montana,9562
2022-05,Nebraska,1405
2022-05,Nevada,8742
2022-05,New Hampshire,8463
2022-05,New Jersey,11450
2022-05,New Mexico,11253
2022-05,New York,24528
2022-05,North Carolina,13627
2022-05,North Dakota,4365
2022-05,Ohio,36349
2022-05,Oklahoma,20811
2022-05,Oregon,24327
2022-05,Pennsylvania,58104
2022-05,Rhode Island,2072
2022-05,South Carolina,17958
2022-05,South Dakota,4651
2022-05,Tennessee,41015
2022-05,Texas,94936
2022-05,Utah,9977
2022-05,Vermont,2872
2022-05,Virginia,39611
2022-05,Washington,42906
2022-05,West Virginia,9854
2022-05,Wisconsin,27644
2022-05,Wyoming,4870
2022-04,Alabama,35396
2022-04,Alaska,6954
2022-04,Arizona,32995
2022-04,Arkansas,13908
2022-04,California,69389
2022-04,Colorado,36648
2022-04,Connecticut,9657
2022-04,Delaware,3995
2022-04,District of Columbia,567
2022-04,Florida,95632
2022-04,Georgia,32656
2022-04,Hawaii,0
2022-04,Idaho,13449
2022-04,Illinois,35790
2022-04,Indiana,40205
2022-04,Iowa,6120
2022-04,Kansas,12975
2022-04,Kentucky,21861
2022-04,Louisiana,21675
2022-04,Maine,8681
2022-04,Maryland,13998
2022-04,Massachusetts,10525
2022-04,Michigan,46724
2022-04,Minnesota,30761
2022-04,Mississippi,16741
2022-04,Missouri,41005
2022-04,Montana,10566
2022-04,Nebraska,1812
2022-04,Nevada,9457
2022-04,New Hampshire,10531
2022-04,New Jersey,13546
2022-04,New Mexico,12899
2022-04,New York,29911
2022-04,North Carolina,15426
2022-04,North Dakota,5290
2022-04,Ohio,45915
2022-04,Oklahoma,25584
2022-04,Oregon,27661
2022-04,Pennsylvania,71421
2022-04,Rhode Island,2342
2022-04,South Carolina,19231
2022-04,South Dakota,6188
2022-04,Tennessee,46884
2022-04,Texas,100399
2022-04,Utah,11281
2022-04,Vermont,3914
2022-04,Virginia,44952
2022-04,Washington,47129
2022-04,West Virginia,12092
2022-04,Wisconsin,38471
2022-04,Wyoming,5031
2022-03,Alabama,47025
2022-03,Alaska,7168
2022-03,Arizona,40807
2022-03,Arkansas,18930
2022-03,California,80129
2022-03,Colorado,43242
2022-03,Connecticut,14285
2022-03,Delaware,4874
2022-03,District of Columbia,626
2022-03,Florida,109290
2022-03,Georgia,38723
2022-03,Hawaii,0
2022-03,Idaho,15696
2022-03,Illinois,45783
2022-03,Indiana,50981
2022-03,Iowa,8409
2022-03,Kansas,17285
2022-03,Kentucky,29386
2022-03,Louisiana,30701
2022-03,Maine,10646
2022-03,Maryland,16589
2022-03,Massachusetts,13664
2022-03,Michigan,55778
2022-03,Minnesota,32169
2022-03,Mississippi,23595
2022-03,Missouri,52202
2022-03,Montana,11734
2022-03,Nebraska,2499
2022-03,Nevada,12023
2022-03,New Hampshire,12267
2022-03,New Jersey,16959
2022-03,New Mexico,16153
2022-03,New York,34563
2022-03,North Carolina,20920
2022-03,North Dakota,6491
2022-03,Ohio,58450
2022-03,Oklahoma,31072
2022-03,Oregon,31697
2022-03,Pennsylvania,83833
2022-03,Rhode Island,3093
2022-03,South Carolina,26193
2022-03,South Dakota,7311
2022-03,Tennessee,59194
2022-03,Texas,129068
2022-03,Utah,13709
2022-03,Vermont,4835
