date,state,Total
2017-05,Florida,73084
2017-05,Georgia,19222
2017-05,Hawaii,0
2017-05,Idaho,7341
2017-05,Illinois,32270
2017-05,Indiana,29271
2017-05,Iowa,2011
2017-05,Kansas,9504
2017-05,Kentucky,14724
2017-05,Louisiana,17939
2017-05,Maine,6184
2017-05,Maryland,9025
2017-05,Massachusetts,8149
2017-05,Michigan,18131
2017-05,Minnesota,16471
2017-05,Mississippi,11543
2017-05,Missouri,31682
2017-05,Montana,6791
2017-05,Nebraska,1393
2017-05,Nevada,7394
2017-05,New Hampshire,7249
2017-05,New Jersey,8694
2017-05,New Mexico,9242
2017-05,New York,25630
2017-05,North Carolina,11371
2017-05,North Dakota,3431
2017-05,Ohio,40588
2017-05,Oklahoma,19494
2017-05,Oregon,22379
2017-05,Pennsylvania,53926
2017-05,Rhode Island,1853
2017-05,South Carolina,14603
2017-05,South Dakota,5345
2017-05,Tennessee,34130
2017-05,Texas,75574
2017-05,Utah,6562
2017-05,Vermont,2570
2017-05,Virginia,34847
2017-05,Washington,27798
2017-05,West Virginia,10730
2017-05,Wisconsin,24304
2017-05,Wyoming,3359
2017-04,Alabama,12345
2017-04,Alaska,6291
2017-04,Arizona,22554
2017-04,Arkansas,10374
2017-04,California,73184
2017-04,Colorado,34196
2017-04,Connecticut,8798
2017-04,Delaware,3445
2017-04,District of Columbia,69
2017-04,Florida,77508
2017-04,Georgia,20653
2017-04,Hawaii,0
2017-04,Idaho,8269
2017-04,Illinois,36675
2017-04,Indiana,34679
2017-04,Iowa,2659
2017-04,Kansas,11046
2017-04,Kentucky,17067
2017-04,Louisiana,18001
2017-04,Maine,7314
2017-04,Maryland,9814
2017-04,Massachusetts,9862
2017-04,Michigan,22387
2017-04,Minnesota,26643
2017-04,Mississippi,12850
2017-04,Missouri,36683
2017-04,Montana,7641
2017-04,Nebraska,1793
2017-04,Nevada,8167
2017-04,New Hampshire,8953
2017-04,New Jersey,9119
2017-04,New Mexico,10457
2017-04,New York,27819
2017-04,North Carolina,12204
2017-04,North Dakota,4907
2017-04,Ohio,50236
2017-04,Oklahoma,24449
2017-04,Oregon,26020
2017-04,Pennsylvania,60229
2017-04,Rhode Island,2101
2017-04,South Carolina,15642
2017-04,South Dakota,6360
2017-04,Tennessee,35716
2017-04,Texas,78549
2017-04,Utah,7445
2017-04,Vermont,3804
2017-04,Virginia,47551
2017-04,Washington,30159
2017-04,West Virginia,12608
2017-04,Wisconsin,30921
2017-04,Wyoming,3537
2017-03,Alabama,18254
2017-03,Alaska,6133
2017-03,Arizona,25791
2017-03,Arkansas,14652
2017-03,California,79603
2017-03,Colorado,38336
2017-03,Connecticut,10209
2017-03,Delaware,4439
2017-03,District of Columbia,87
2017-03,Florida,90554
2017-03,Georgia,29983
2017-03,Hawaii,0
2017-03,Idaho,9976
2017-03,Illinois,46136
2017-03,Indiana,45324
2017-03,Iowa,3519
2017-03,Kansas,14152
2017-03,Kentucky,23753
2017-03,Louisiana,23815
2017-03,Maine,8346
2017-03,Maryland,11448
2017-03,Massachusetts,11344
2017-03,Michigan,28024
2017-03,Minnesota,28666
2017-03,Mississippi,18903
2017-03,Missouri,48379
2017-03,Montana,8779
2017-03,Nebraska,2191
2017-03,Nevada,9856
2017-03,New Hampshire,10970
2017-03,New Jersey,10993
2017-03,New Mexico,12221
2017-03,New York,29828
2017-03,North Carolina,16642
2017-03,North Dakota,4578
2017-03,Ohio,61264
2017-03,Oklahoma,26317
2017-03,Oregon,30698
2017-03,Pennsylvania,77129
2017-03,Rhode Island,2521
2017-03,South Carolina,21404
2017-03,South Dakota,7627
2017-03,Tennessee,46817
2017-03,Texas,96839
2017-03,Utah,8695
2017-03,Vermont,4034
2017-03,Virginia,48820
2017-03,Washington,36007
2017-03,West Virginia,16350
2017-03,Wisconsin,37773
2017-03,Wyoming,4313
2017-02,Alabama,18563
2017-02,Alaska,5330
2017-02,Arizona,26328
2017-02,Arkansas,14739
2017-02,California,72248
2017-02,Colorado,36910
2017-02,Connecticut,8770
2017-02,Delaware,4171
2017-02,District of Columbia,68
2017-02,Florida,87795
2017-02,Georgia,29658
2017-02,Hawaii,0
2017-02,Idaho,8412
2017-02,Illinois,41055
2017-02,Indiana,42666
2017-02,Iowa,2767
2017-02,Kansas,14524
2017-02,Kentucky,24908
2017-02,Louisiana,21813
2017-02,Maine,6698
2017-02,Maryland,10717
2017-02,Massachusetts,9741
2017-02,Michigan,26184
2017-02,Minnesota,22854
2017-02,Mississippi,18189
2017-02,Missouri,45608
2017-02,Montana,6827
2017-02,Nebraska,2133
2017-02,Nevada,8985
2017-02,New Hampshire,9348
2017-02,New Jersey,9601
2017-02,New Mexico,12573
2017-02,New York,26852
2017-02,North Carolina,16093
2017-02,North Dakota,4180
2017-02,Ohio,57925
2017-02,Oklahoma,25964
2017-02,Oregon,28151
2017-02,Pennsylvania,66878
2017-02,Rhode Island,2312
2017-02,South Carolina,22150
2017-02,South Dakota,7559
2017-02,Tennessee,49966
2017-02,Texas,96630
2017-02,Utah,8885
2017-02,Vermont,3586
2017-02,Virginia,46191
2017-02,Washington,33672
2017-02,West Virginia,16069
2017-02,Wisconsin,31309
2017-02,Wyoming,3721
2017-01,Alabama,13921
2017-01,Alaska,3973
2017-01,Arizona,20962
2017-01,Arkansas,11007
2017-01,California,67100
2017-01,Colorado,31163
2017-01,Connecticut,8366
2017-01,Delaware,3419
2017-01,District of Columbia,75
2017-01,Florida,78411
2017-01,Georgia,21300
2017-01,Hawaii,0
2017-01,Idaho,5995
2017-01,Illinois,36546
2017-01,Indiana,34608
2017-01,Iowa,2239
2017-01,Kansas,11463
2017-01,Kentucky,17132
2017-01,Louisiana,20701
2017-01,Maine,5943
2017-01,Maryland,9919
2017-01,Massachusetts,9473
2017-01,Michigan,18352
2017-01,Minnesota,17825
2017-01,Mississippi,12943
2017-01,Missouri,35749
2017-01,Montana,5074
2017-01,Nebraska,1843
2017-01,Nevada,7101
2017-01,New Hampshire,8316
2017-01,New Jersey,9274
2017-01,New Mexico,9049
2017-01,New York,25704
2017-01,North Carolina,13281
2017-01,North Dakota,3443
2017-01,Ohio,44885
2017-01,Oklahoma,21403
2017-01,Oregon,21056
2017-01,Pennsylvania,54938
2017-01,Rhode Island,2121
2017-01,South Carolina,16365
2017-01,South Dakota,5610
2017-01,Tennessee,37701
2017-01,Texas,79227
2017-01,Utah,6225
2017-01,Vermont,2686
2017-01,Virginia,36514
2017-01,Washington,27930
2017-01,West Virginia,11448
2017-01,Wisconsin,22021
2017-01,Wyoming,2944
2016-12,Alabama,32161
2016-12,Alaska,8219
2016-12,Arizona,33692
2016-12,Arkansas,23287
2016-12,California,234802
2016-12,Colorado,49893
2016-12,Connecticut,11275
2016-12,Delaware,5913
2016-12,District of Columbia,67
2016-12,Florida,115805
2016-12,Georgia,47930
2016-12,Hawaii,0
2016-12,Idaho,12961
2016-12,Illinois,47853
2016-12,Indiana,54393
2016-12,Iowa,5238
2016-12,Kansas,19832
2016-12,Kentucky,35121
2016-12,Louisiana,43153
2016-12,Maine,9863
2016-12,Maryland,14039
2016-12,Massachusetts,11523
2016-12,Michigan,30002
2016-12,Minnesota,26638
2016-12,Mississippi,31294
2016-12,Missouri,59524
2016-12,Montana,10038
2016-12,Nebraska,3998
2016-12,Nevada,12203
2016-12,New Hampshire,11034
2016-12,New Jersey,10577
2016-12,New Mexico,15431
2016-12,New York,35936
2016-12,North Carolina,31378
2016-12,North Dakota,4915
2016-12,Ohio,74045
2016-12,Oklahoma,39594
2016-12,Oregon,34941
2016-12,Pennsylvania,82948
2016-12,Rhode Island,2518
2016-12,South Carolina,31616
2016-12,South Dakota,9175
2016-12,Tennessee,69721
2016-12,Texas,145284
2016-12,Utah,16026
2016-12,Vermont,3973
2016-12,Virginia,61499
2016-12,Washington,40974
2016-12,West Virginia,23378
2016-12,Wisconsin,32412
2016-12,Wyoming,5753
2016-11,Alabama,24671
2016-11,Alaska,7980
2016-11,Arizona,28961
2016-11,Arkansas,19809
2016-11,California,169619
2016-11,Colorado,47057
2016-11,Connecticut,10456
2016-11,Delaware,5471
2016-11,District of Columbia,55
2016-11,Florida,104446
2016-11,Georgia,36129
2016-11,Hawaii,0
2016-11,Idaho,11443
2016-11,Illinois,48674
2016-11,Indiana,51015
2016-11,Iowa,5562
2016-11,Kansas,19020
2016-11,Kentucky,28660
2016-11,Louisiana,34811
2016-11,Maine,9711
2016-11,Maryland,15123
2016-11,Massachusetts,12447
2016-11,Michigan,35033
2016-11,Minnesota,29286
2016-11,Mississippi,23747
2016-11,Missouri,52827
2016-11,Montana,9103
2016-11,Nebraska,3938
2016-11,Nevada,11417
2016-11,New Hampshire,11346
2016-11,New Jersey,11317
2016-11,New Mexico,13033
2016-11,New York,37879
2016-11,North Carolina,26125
2016-11,North Dakota,5575
2016-11,Ohio,73287
2016-11,Oklahoma,35729
2016-11,Oregon,32724
2016-11,Pennsylvania,86717
2016-11,Rhode Island,2631
2016-11,South Carolina,25560
2016-11,South Dakota,9716
2016-11,Tennessee,57197
2016-11,Texas,122205
2016-11,Utah,12627
2016-11,Vermont,3499
2016-11,Virginia,57665
2016-11,Washington,38851
2016-11,West Virginia,19756
2016-11,Wisconsin,38128
2016-11,Wyoming,5049
2016-10,Alabama,17454
2016-10,Alaska,8476
2016-10,Arizona,23692
2016-10,Arkansas,14524
2016-10,California,119344
2016-10,Colorado,40335
2016-10,Connecticut,9220
2016-10,Delaware,4378
2016-10,District of Columbia,61
2016-10,Florida,83223
2016-10,Georgia,27317
2016-10,Hawaii,0
2016-10,Idaho,10178
2016-10,Illinois,49815
2016-10,Indiana,40469
2016-10,Iowa,3814
2016-10,Kansas,14254
2016-10,Kentucky,21014
2016-10,Louisiana,27260
2016-10,Maine,12000
2016-10,Maryland,11278
2016-10,Massachusetts,10637
2016-10,Michigan,27124
2016-10,Minnesota,31482
2016-10,Mississippi,16643
2016-10,Missouri,45742
2016-10,Montana,10208
2016-10,Nebraska,2993
2016-10,Nevada,9813
2016-10,New Hampshire,10902
2016-10,New Jersey,10175
2016-10,New Mexico,11027
2016-10,New York,33250
2016-10,North Carolina,18592
2016-10,North Dakota,6363
2016-10,Ohio,56697
2016-10,Oklahoma,24864
2016-10,Oregon,28161
2016-10,Pennsylvania,73099
2016-10,Rhode Island,2420
2016-10,South Carolina,18061
2016-10,South Dakota,10596
2016-10,Tennessee,43615
2016-10,Texas,97701
2016-10,Utah,8536
2016-10,Vermont,3767
2016-10,Virginia,46039
2016-10,Washington,37451
2016-10,West Virginia,15216
2016-10,Wisconsin,33888
2016-10,Wyoming,4259
2016-09,Alabama,16265
2016-09,Alaska,6141
2016-09,Arizona,22445
2016-09,Arkansas,11641
2016-09,California,95776
2016-09,Colorado,34190
2016-09,Connecticut,8000
2016-09,Delaware,3813
2016-09,District of Columbia,52
2016-09,Florida,73537
2016-09,Georgia,22993
2016-09,Hawaii,0
2016-09,Idaho,8799
2016-09,Illinois,32947
2016-09,Indiana,32731
2016-09,Iowa,2882
2016-09,Kansas,11176
2016-09,Kentucky,17936
2016-09,Louisiana,28180
2016-09,Maine,9564
2016-09,Maryland,9209
2016-09,Massachusetts,9271
2016-09,Michigan,22079
2016-09,Minnesota,26869
2016-09,Mississippi,14149
2016-09,Missouri,35608
2016-09,Montana,8500
2016-09,Nebraska,2271
2016-09,Nevada,7579
2016-09,New Hampshire,9054
2016-09,New Jersey,9309
2016-09,New Mexico,9724
2016-09,New York,28596
2016-09,North Carolina,16053
2016-09,North Dakota,4837
2016-09,Ohio,45029
2016-09,Oklahoma,21320
2016-09,Oregon,26371
2016-09,Pennsylvania,58829
2016-09,Rhode Island,2028
2016-09,South Carolina,16648
2016-09,South Dakota,7550
2016-09,Tennessee,36982
2016-09,Texas,85490
2016-09,Utah,7636
2016-09,Vermont,3126
2016-09,Virginia,37966
2016-09,Washington,31769
2016-09,West Virginia,13309
2016-09,Wisconsin,28791
2016-09,Wyoming,3916
2016-08,Alabama,16787
2016-08,Alaska,6594
2016-08,Arizona,22371
2016-08,Arkansas,12314
2016-08,California,100082
2016-08,Colorado,34452
2016-08,Connecticut,14100
2016-08,Delaware,3400
2016-08,District of Columbia,60
2016-08,Florida,78675
2016-08,Georgia,22883
2016-08,Hawaii,0
2016-08,Idaho,7772
2016-08,Illinois,93310
2016-08,Indiana,34346
2016-08,Iowa,2552
2016-08,Kansas,11111
2016-08,Kentucky,16755
2016-08,Louisiana,25425
2016-08,Maine,7251
2016-08,Maryland,9470
2016-08,Massachusetts,9046
2016-08,Michigan,20427
2016-08,Minnesota,22350
2016-08,Mississippi,21290
2016-08,Missouri,36130
2016-08,Montana,7755
2016-08,Nebraska,1952
2016-08,Nevada,7825
2016-08,New Hampshire,8343
2016-08,New Jersey,9728
2016-08,New Mexico,10031
2016-08,New York,26142
2016-08,North Carolina,14656
2016-08,North Dakota,4046
2016-08,Ohio,46573
2016-08,Oklahoma,22439
2016-08,Oregon,22834
2016-08,Pennsylvania,57859
2016-08,Rhode Island,2058
2016-08,South Carolina,16558
2016-08,South Dakota,6281
2016-08,Tennessee,40125
2016-08,Texas,88055
2016-08,Utah,6697
2016-08,Vermont,2720
2016-08,Virginia,37888
2016-08,Washington,28687
2016-08,West Virginia,12787
2016-08,Wisconsin,27595
2016-08,Wyoming,4001
2016-07,Alabama,18527
2016-07,Alaska,6118
2016-07,Arizona,24261
2016-07,Arkansas,12068
2016-07,California,111252
2016-07,Colorado,36500
2016-07,Connecticut,15595
2016-07,Delaware,3642
2016-07,District of Columbia,60
2016-07,Florida,92730
2016-07,Georgia,25206
2016-07,Hawaii,0
2016-07,Idaho,7618
2016-07,Illinois,34183
2016-07,Indiana,33943
2016-07,Iowa,2441
2016-07,Kansas,11808
2016-07,Kentucky,16848
2016-07,Louisiana,36373
2016-07,Maine,6884
2016-07,Maryland,9618
2016-07,Massachusetts,13302
2016-07,Michigan,20152
2016-07,Minnesota,20236
2016-07,Mississippi,17445
2016-07,Missouri,37045
2016-07,Montana,7188
2016-07,Nebraska,1654
2016-07,Nevada,8836
2016-07,New Hampshire,9100
2016-07,New Jersey,10074
2016-07,New Mexico,10121
2016-07,New York,25308
2016-07,North Carolina,14884
2016-07,North Dakota,3970
2016-07,Ohio,48994
2016-07,Oklahoma,22433
2016-07,Oregon,24791
2016-07,Pennsylvania,58655
2016-07,Rhode Island,2340
2016-07,South Carolina,16915
2016-07,South Dakota,5906
2016-07,Tennessee,43768
2016-07,Texas,91509
2016-07,Utah,7087
2016-07,Vermont,2668
2016-07,Virginia,42466
2016-07,Washington,29959
2016-07,West Virginia,12267
2016-07,Wisconsin,23937
2016-07,Wyoming,3618
2016-06,Alabama,17405
2016-06,Alaska,6662
2016-06,Arizona,23586
2016-06,Arkansas,10691
2016-06,California,91227
2016-06,Colorado,35642
2016-06,Connecticut,16292
2016-06,Delaware,3681
2016-06,District of Columbia,49
2016-06,Florida,92959
2016-06,Georgia,22365
2016-06,Hawaii,0
2016-06,Idaho,8062
2016-06,Illinois,35955
2016-06,Indiana,32761
2016-06,Iowa,2217
2016-06,Kansas,10551
2016-06,Kentucky,16224
2016-06,Louisiana,22267
2016-06,Maine,6860
2016-06,Maryland,9339
2016-06,Massachusetts,10600
2016-06,Michigan,19460
2016-06,Minnesota,20251
2016-06,Mississippi,13211
2016-06,Missouri,34836
2016-06,Montana,7752
2016-06,Nebraska,1737
2016-06,Nevada,8700
2016-06,New Hampshire,8821
2016-06,New Jersey,10806
2016-06,New Mexico,10398
2016-06,New York,23680
2016-06,North Carolina,14096
2016-06,North Dakota,3917
2016-06,Ohio,44980
2016-06,Oklahoma,22961
2016-06,Oregon,25454
2016-06,Pennsylvania,56553
2016-06,Rhode Island,2266
2016-06,South Carolina,16246
2016-06,South Dakota,6051
2016-06,Tennessee,39135
2016-06,Texas,86839
2016-06,Utah,7661
2016-06,Vermont,2681
2016-06,Virginia,36605
2016-06,Washington,33594
2016-06,West Virginia,12190
2016-06,Wisconsin,24851
2016-06,Wyoming,3975
2016-05,Alabama,13707
2016-05,Alaska,5323
2016-05,Arizona,18942
2016-05,Arkansas,8508
2016-05,California,73148
2016-05,Colorado,29400
2016-05,Connecticut,13527
2016-05,Delaware,2966
2016-05,District of Columbia,53
2016-05,Florida,64001
2016-05,Georgia,17157
2016-05,Hawaii,0
2016-05,Idaho,6771
2016-05,Illinois,28548
2016-05,Indiana,27614
2016-05,Iowa,1709
2016-05,Kansas,8745
2016-05,Kentucky,13929
2016-05,Louisiana,16423
2016-05,Maine,5756
2016-05,Maryland,8398
2016-05,Massachusetts,8247
2016-05,Michigan,16830
2016-05,Minnesota,17387
2016-05,Mississippi,11078
2016-05,Missouri,28861
2016-05,Montana,6903
2016-05,Nebraska,1369
2016-05,Nevada,7110
2016-05,New Hampshire,7049
2016-05,New Jersey,9770
2016-05,New Mexico,8305
2016-05,New York,21768
2016-05,North Carolina,10312
2016-05,North Dakota,3117
2016-05,Ohio,41696
2016-05,Oklahoma,18340
2016-05,Oregon,21232
2016-05,Pennsylvania,48756
2016-05,Rhode Island,1613
2016-05,South Carolina,12096
2016-05,South Dakota,5169
2016-05,Tennessee,30567
2016-05,Texas,69348
2016-05,Utah,6561
2016-05,Vermont,2242
2016-05,Virginia,29837
2016-05,Washington,25472
2016-05,West Virginia,10860
2016-05,Wisconsin,20520
2016-05,Wyoming,3354
2016-04,Alabama,17451
2016-04,Alaska,6167
2016-04,Arizona,21787
2016-04,Arkansas,10321
2016-04,California,77242
2016-04,Colorado,32510
2016-04,Connecticut,16047
2016-04,Delaware,3325
2016-04,District of Columbia,58
2016-04,Florida,72797
2016-04,Georgia,21265
2016-04,Hawaii,0
2016-04,Idaho,7432
2016-04,Illinois,36896
2016-04,Indiana,34609
2016-04,Iowa,2666
2016-04,Kansas,10932
2016-04,Kentucky,17431
2016-04,Louisiana,19484
2016-04,Maine,7586
2016-04,Maryland,9424
2016-04,Massachusetts,9996
2016-04,Michigan,22879
2016-04,Minnesota,26120
2016-04,Mississippi,13508
2016-04,Missouri,34407
2016-04,Montana,7711
2016-04,Nebraska,1789
2016-04,Nevada,8406
2016-04,New Hampshire,8880
2016-04,New Jersey,10465
2016-04,New Mexico,9808
2016-04,New York,27027
2016-04,North Carolina,12346
2016-04,North Dakota,5076
2016-04,Ohio,53485
2016-04,Oklahoma,23160
2016-04,Oregon,23100
2016-04,Pennsylvania,63115
2016-04,Rhode Island,2068
2016-04,South Carolina,14896
2016-04,South Dakota,6786
2016-04,Tennessee,36005
2016-04,Texas,78226
2016-04,Utah,7597
2016-04,Vermont,3212
2016-04,Virginia,35795
2016-04,Washington,27639
2016-04,West Virginia,12942
2016-04,Wisconsin,29752
2016-04,Wyoming,3912
2016-03,Alabama,24450
2016-03,Alaska,6319
2016-03,Arizona,23791
2016-03,Arkansas,13623
2016-03,California,82727
2016-03,Colorado,35086
2016-03,Connecticut,18582
2016-03,Delaware,4134
2016-03,District of Columbia,80
2016-03,Florida,80786
2016-03,Georgia,27796
2016-03,Hawaii,0
2016-03,Idaho,8566
2016-03,Illinois,43005
2016-03,Indiana,43666
2016-03,Iowa,3291
2016-03,Kansas,13756
2016-03,Kentucky,23085
2016-03,Louisiana,22642
2016-03,Maine,8466
2016-03,Maryland,10399
2016-03,Massachusetts,11014
2016-03,Michigan,29179
2016-03,Minnesota,26300
2016-03,Mississippi,17684
2016-03,Missouri,44701
2016-03,Montana,8310
2016-03,Nebraska,2097
2016-03,Nevada,9704
2016-03,New Hampshire,9567
2016-03,New Jersey,11138
2016-03,New Mexico,11653
2016-03,New York,28842
2016-03,North Carolina,14627
2016-03,North Dakota,4825
2016-03,Ohio,63377
2016-03,Oklahoma,25649
2016-03,Oregon,27023
2016-03,Pennsylvania,72788
2016-03,Rhode Island,2479
2016-03,South Carolina,19241
2016-03,South Dakota,7449
2016-03,Tennessee,43959
2016-03,Texas,92770
2016-03,Utah,8103
2016-03,Vermont,3852
2016-03,Virginia,41905
2016-03,Washington,32706
2016-03,West Virginia,16560
2016-03,Wisconsin,34117
2016-03,Wyoming,4259
2016-02,Alabama,46477
2016-02,Alaska,6016
2016-02,Arizona,27335
2016-02,Arkansas,18456
2016-02,California,79230
2016-02,Colorado,38091
2016-02,Connecticut,17841
2016-02,Delaware,4560
2016-02,District of Columbia,81
2016-02,Florida,93205
2016-02,Georgia,36838
2016-02,Hawaii,0
2016-02,Idaho,9259
2016-02,Illinois,44819
2016-02,Indiana,49880
2016-02,Iowa,3190
2016-02,Kansas,16530
2016-02,Kentucky,31198
2016-02,Louisiana,27166
2016-02,Maine,9049
2016-02,Maryland,10372
2016-02,Massachusetts,9822
2016-02,Michigan,31478
2016-02,Minnesota,23582
2016-02,Mississippi,23410
2016-02,Missouri,50368
2016-02,Montana,8409
2016-02,Nebraska,2270
2016-02,Nevada,10335
2016-02,New Hampshire,10423
2016-02,New Jersey,9811
2016-02,New Mexico,13403
2016-02,New York,28620
2016-02,North Carolina,17745
2016-02,North Dakota,4703
2016-02,Ohio,70273
2016-02,Oklahoma,32212
2016-02,Oregon,28781
2016-02,Pennsylvania,73724
2016-02,Rhode Island,2352
2016-02,South Carolina,23653
2016-02,South Dakota,8600
2016-02,Tennessee,56106
2016-02,Texas,117611
2016-02,Utah,8892
2016-02,Vermont,4168
2016-02,Virginia,47166
2016-02,Washington,35269
2016-02,West Virginia,19296
2016-02,Wisconsin,32779
2016-02,Wyoming,4612
2016-01,Alabama,42380
2016-01,Alaska,5568
2016-01,Arizona,25939
2016-01,Arkansas,14581
2016-01,California,92163
2016-01,Colorado,39555
2016-01,Connecticut,17698
2016-01,Delaware,4339
2016-01,District of Columbia,55
2016-01,Florida,93957
2016-01,Georgia,29150
2016-01,Hawaii,0
2016-01,Idaho,8463
2016-01,Illinois,45794
2016-01,Indiana,46819
2016-01,Iowa,2945
2016-01,Kansas,16743
2016-01,Kentucky,22379
2016-01,Louisiana,27555
2016-01,Maine,8125
2016-01,Maryland,9654
2016-01,Massachusetts,11579
2016-01,Michigan,28521
2016-01,Minnesota,22339
2016-01,Mississippi,17757
2016-01,Missouri,47570
2016-01,Montana,7324
2016-01,Nebraska,2485
2016-01,Nevada,9445
2016-01,New Hampshire,10952
2016-01,New Jersey,8683
2016-01,New Mexico,10820
2016-01,New York,28873
2016-01,North Carolina,15398
2016-01,North Dakota,4900
2016-01,Ohio,60423
2016-01,Oklahoma,31753
2016-01,Oregon,26333
2016-01,Pennsylvania,67579
2016-01,Rhode Island,2577
2016-01,South Carolina,19664
2016-01,South Dakota,8081
2016-01,Tennessee,48253
2016-01,Texas,117478
2016-01,Utah,8816
2016-01,Vermont,3441
2016-01,Virginia,43654
2016-01,Washington,34524
2016-01,West Virginia,13594
2016-01,Wisconsin,29704
2016-01,Wyoming,4428
2015-12,Alabama,84765
2015-12,Alaska,10473
2015-12,Arizona,42609
2015-12,Arkansas,29907
2015-12,California,132744
2015-12,Colorado,61086
2015-12,Connecticut,24479
2015-12,Delaware,7201
2015-12,District of Columbia,79
2015-12,Florida,139879
2015-12,Georgia,62229
2015-12,Hawaii,0
2015-12,Idaho,15432
2015-12,Illinois,59355
2015-12,Indiana,73928
2015-12,Iowa,6149
2015-12,Kansas,25626
2015-12,Kentucky,47067
2015-12,Louisiana,55359
2015-12,Maine,13485
2015-12,Maryland,15120
2015-12,Massachusetts,15311
2015-12,Michigan,45498
2015-12,Minnesota,33380
2015-12,Mississippi,40200
2015-12,Missouri,77312
2015-12,Montana,13591
2015-12,Nebraska,5126
2015-12,Nevada,15399
2015-12,New Hampshire,14982
2015-12,New Jersey,11018
2015-12,New Mexico,17641
2015-12,New York,44516
2015-12,North Carolina,35347
2015-12,North Dakota,7521
2015-12,Ohio,103571
2015-12,Oklahoma,52393
2015-12,Oregon,41014
2015-12,Pennsylvania,108813
2015-12,Rhode Island,3322
2015-12,South Carolina,39185
2015-12,South Dakota,12757
2015-12,Tennessee,90450
2015-12,Texas,196561
2015-12,Utah,18414
2015-12,Vermont,4723
2015-12,Virginia,72295
2015-12,Washington,51205
2015-12,West Virginia,30076
2015-12,Wisconsin,43921
2015-12,Wyoming,7966
2015-11,Alabama,47709
2015-11,Alaska,6646
2015-11,Arizona,22748
2015-11,Arkansas,18514
2015-11,California,80747
2015-11,Colorado,37949
2015-11,Connecticut,16800
2015-11,Delaware,4713
2015-11,District of Columbia,56
2015-11,Florida,84002
2015-11,Georgia,33068
2015-11,Hawaii,0
2015-11,Idaho,9215
2015-11,Illinois,42671
2015-11,Indiana,47667
2015-11,Iowa,4894
2015-11,Kansas,16495
2015-11,Kentucky,27904
2015-11,Louisiana,33566
2015-11,Maine,8741
2015-11,Maryland,11635
2015-11,Massachusetts,10591
2015-11,Michigan,31861
2015-11,Minnesota,24362
2015-11,Mississippi,23766
2015-11,Missouri,46051
2015-11,Montana,8305
2015-11,Nebraska,3930
2015-11,Nevada,8641
2015-11,New Hampshire,9109
2015-11,New Jersey,8313
2015-11,New Mexico,10832
2015-11,New York,32983
2015-11,North Carolina,22255
2015-11,North Dakota,5608
2015-11,Ohio,69570
2015-11,Oklahoma,31534
2015-11,Oregon,25418
2015-11,Pennsylvania,79049
2015-11,Rhode Island,2078
2015-11,South Carolina,22844
2015-11,South Dakota,8543
2015-11,Tennessee,54138
2015-11,Texas,114191
2015-11,Utah,10628
2015-11,Vermont,3134
2015-11,Virginia,47374
2015-11,Washington,30091
2015-11,West Virginia,19216
2015-11,Wisconsin,31962
2015-11,Wyoming,4308
2015-10,Alabama,34259
2015-10,Alaska,9015
2015-10,Arizona,19527
2015-10,Arkansas,14932
2015-10,California,68040
2015-10,Colorado,33883
2015-10,Connecticut,13696
2015-10,Delaware,3723
2015-10,District of Columbia,66
2015-10,Florida,72173
2015-10,Georgia,26435
2015-10,Hawaii,0
2015-10,Idaho,8766
2015-10,Illinois,32352
2015-10,Indiana,34174
2015-10,Iowa,3520
2015-10,Kansas,12165
2015-10,Kentucky,21321
2015-10,Louisiana,27416
2015-10,Maine,10432
2015-10,Maryland,9647
2015-10,Massachusetts,8903
2015-10,Michigan,24741
2015-10,Minnesota,27705
2015-10,Mississippi,16663
2015-10,Missouri,39559
2015-10,Montana,9882
2015-10,Nebraska,2837
2015-10,Nevada,7306
2015-10,New Hampshire,8333
2015-10,New Jersey,7315
2015-10,New Mexico,10264
2015-10,New York,28926
2015-10,North Carolina,17553
2015-10,North Dakota,6674
2015-10,Ohio,50568
2015-10,Oklahoma,24174
2015-10,Oregon,25358
2015-10,Pennsylvania,61040
2015-10,Rhode Island,1904
2015-10,South Carolina,16222
2015-10,South Dakota,9607
2015-10,Tennessee,43058
2015-10,Texas,90067
2015-10,Utah,6990
2015-10,Vermont,3248
2015-10,Virginia,38588
2015-10,Washington,29264
2015-10,West Virginia,15414
2015-10,Wisconsin,30294
2015-10,Wyoming,3991
2015-09,Alabama,30959
2015-09,Alaska,5620
2015-09,Arizona,19104
2015-09,Arkansas,12450
2015-09,California,59797
2015-09,Colorado,29910
2015-09,Connecticut,12062
2015-09,Delaware,3010
2015-09,District of Columbia,41
2015-09,Florida,65148
2015-09,Georgia,22924
2015-09,Hawaii,0
2015-09,Idaho,8110
2015-09,Illinois,30910
2015-09,Indiana,30242
2015-09,Iowa,2733
2015-09,Kansas,10587
2015-09,Kentucky,17309
2015-09,Louisiana,34081
2015-09,Maine,7857
2015-09,Maryland,7551
2015-09,Massachusetts,7412
2015-09,Michigan,20819
2015-09,Minnesota,23218
2015-09,Mississippi,19498
2015-09,Missouri,31465
2015-09,Montana,8590
2015-09,Nebraska,2164
2015-09,Nevada,7137
2015-09,New Hampshire,7020
2015-09,New Jersey,6056
2015-09,New Mexico,9491
2015-09,New York,24106
2015-09,North Carolina,14497
2015-09,North Dakota,4901
